emp_no;dept_no;from_date;to_date
72690;d006;1990-12-17;1994-11-24
72700;d004;1995-07-31;2001-05-30
72700;d005;1992-05-27;1995-07-31
72710;d001;1992-05-10;9999-01-01
72720;d005;1997-09-08;9999-01-01
72730;d005;1995-05-28;2001-04-26
72730;d008;2001-04-26;9999-01-01
72740;d003;1985-04-07;9999-01-01
72750;d005;1998-08-24;9999-01-01
72760;d005;1993-07-05;9999-01-01
72770;d003;1992-12-19;9999-01-01
72780;d004;1991-04-18;9999-01-01
72790;d003;1991-02-02;9999-01-01
72800;d001;1990-07-31;9999-01-01
72810;d004;1997-03-07;9999-01-01
72820;d005;1994-01-26;9999-01-01
72830;d001;2000-03-29;9999-01-01
72830;d007;1999-05-05;2000-03-29
72840;d007;1992-12-13;9999-01-01
72850;d005;1996-05-25;9999-01-01
72860;d002;1998-10-18;9999-01-01
72870;d005;1998-10-28;9999-01-01
72880;d005;1990-01-07;9999-01-01
72890;d007;1991-05-14;9999-01-01
72900;d007;1991-04-25;1995-11-19
72910;d004;1997-05-15;9999-01-01
72920;d001;1994-12-16;1998-07-08
72920;d009;1998-07-08;9999-01-01
72930;d004;1996-08-19;1999-07-11
72930;d006;1999-07-11;9999-01-01
72940;d002;1994-12-18;9999-01-01
72950;d006;1990-02-02;9999-01-01
72960;d007;1999-07-02;9999-01-01
72970;d009;1995-07-05;9999-01-01
72980;d006;1998-04-17;9999-01-01
72990;d005;1998-12-23;9999-01-01
73000;d001;1995-01-17;9999-01-01
73010;d005;1991-11-10;9999-01-01
73020;d007;1995-06-20;9999-01-01
73030;d007;1997-06-25;9999-01-01
73040;d003;1988-09-30;9999-01-01
73050;d006;1990-12-18;9999-01-01
73060;d004;1994-12-08;9999-01-01
73070;d005;1989-01-25;9999-01-01
73080;d003;1992-02-03;1997-05-07
73090;d008;1985-03-27;9999-01-01
73100;d005;1990-09-02;9999-01-01
73110;d005;1987-07-12;9999-01-01
73120;d007;1993-01-29;9999-01-01
73130;d002;1994-06-22;9999-01-01
73140;d005;1999-01-18;1999-02-22
73150;d001;1995-07-07;9999-01-01
73160;d007;1986-12-29;9999-01-01
73170;d003;1989-01-05;9999-01-01
73180;d004;1998-03-13;2002-03-13
73190;d007;1991-08-08;9999-01-01
73200;d004;1994-06-15;1998-10-05
73210;d004;1992-12-03;9999-01-01
73220;d004;1989-04-22;9999-01-01
73220;d009;1985-05-04;1989-04-22
73230;d003;1999-10-21;9999-01-01
73240;d004;1999-03-06;9999-01-01
73250;d004;1993-01-28;9999-01-01
73260;d006;1996-07-04;9999-01-01
73270;d004;1989-05-29;9999-01-01
73280;d004;1996-08-15;9999-01-01
73290;d008;1988-10-19;2000-12-28
73300;d009;1996-08-25;9999-01-01
73310;d002;1986-06-28;2001-07-10
73320;d001;1990-07-18;1993-05-21
73320;d007;1988-07-06;1990-07-18
73330;d004;1995-05-30;2002-02-18
73340;d002;1986-12-16;1996-07-12
73350;d004;1987-07-09;9999-01-01
73360;d002;1986-11-15;9999-01-01
73370;d005;1998-10-22;2002-07-21
73380;d005;1989-12-23;1994-02-21
73390;d006;1988-12-04;9999-01-01
73400;d004;1990-01-21;9999-01-01
73410;d007;1997-01-03;9999-01-01
73420;d003;1996-11-08;2002-01-12
73430;d006;1985-06-20;9999-01-01
73440;d001;1986-12-09;1999-11-04
73440;d009;1999-11-04;9999-01-01
73450;d008;1998-03-12;2001-02-20
73460;d003;1994-09-18;9999-01-01
73470;d004;1988-11-07;9999-01-01
73480;d007;1989-03-17;9999-01-01
73490;d005;1998-09-24;9999-01-01
73500;d005;1986-01-15;9999-01-01
73510;d007;1986-11-26;1991-09-26
73520;d002;1990-06-30;9999-01-01
73530;d007;1998-03-27;9999-01-01
73540;d004;1990-08-20;9999-01-01
73550;d003;1992-03-31;9999-01-01
73560;d006;1994-09-14;9999-01-01
73570;d005;1992-07-26;9999-01-01
73580;d009;1994-05-28;9999-01-01
73590;d004;1988-04-19;9999-01-01
73600;d005;1989-10-21;1996-11-28
73610;d004;1994-06-05;9999-01-01
73620;d003;1993-02-19;9999-01-01
73630;d005;1989-01-07;9999-01-01
73640;d005;1987-01-01;9999-01-01
73650;d004;1999-11-07;9999-01-01
73660;d005;1997-12-20;9999-01-01
73670;d005;1997-09-25;1999-02-15
73680;d001;1993-12-14;1997-04-26
73690;d007;1987-11-04;9999-01-01
73700;d007;1993-03-27;9999-01-01
73710;d004;1998-12-27;9999-01-01
73720;d004;1989-07-11;9999-01-01
73730;d001;1998-11-25;2000-03-07
73740;d001;1990-11-30;9999-01-01
73750;d008;1986-03-21;9999-01-01
73760;d005;1986-03-24;9999-01-01
73770;d007;1997-03-08;9999-01-01
73780;d005;2000-09-01;9999-01-01
73780;d006;1999-10-14;2000-09-01
73790;d006;1986-09-11;9999-01-01
73800;d003;1985-04-17;9999-01-01
73810;d009;1989-08-07;9999-01-01
73820;d003;1986-02-15;9999-01-01
73830;d005;1989-01-27;9999-01-01
73840;d009;1993-02-08;9999-01-01
73850;d007;1994-01-05;9999-01-01
73860;d007;1996-06-15;9999-01-01
73870;d002;1997-06-23;9999-01-01
73880;d004;1986-05-26;9999-01-01
73890;d004;1992-05-29;9999-01-01
73900;d004;1986-09-24;9999-01-01
73910;d005;1989-11-24;9999-01-01
73920;d004;1987-05-23;9999-01-01
73930;d004;1993-08-31;9999-01-01
73940;d004;1985-12-17;9999-01-01
73950;d005;1997-06-04;9999-01-01
73960;d005;1993-11-19;9999-01-01
73970;d005;1989-04-22;1995-04-17
73980;d004;1996-02-20;9999-01-01
73990;d004;1999-07-22;9999-01-01
74000;d006;1992-12-01;2002-07-21
74010;d003;1994-05-07;2001-01-02
74020;d007;1994-01-08;9999-01-01
74030;d004;1994-07-27;9999-01-01
74040;d005;1990-06-22;1997-06-29
74040;d008;1997-06-29;9999-01-01
74050;d004;1994-03-01;1998-01-21
74050;d009;1998-01-21;9999-01-01
74060;d005;1999-01-22;2000-01-27
74060;d008;2000-01-27;9999-01-01
74070;d005;1992-09-30;9999-01-01
74080;d004;1993-06-06;9999-01-01
74090;d007;1996-12-03;2001-11-16
74100;d004;1995-08-03;9999-01-01
74110;d006;1998-12-05;9999-01-01
74120;d007;1988-09-01;9999-01-01
74130;d007;1990-01-25;9999-01-01
74140;d005;1996-01-16;9999-01-01
74150;d002;1994-08-21;9999-01-01
74160;d005;1998-01-19;2002-05-18
74170;d007;1992-11-16;9999-01-01
74180;d007;1995-10-20;9999-01-01
74190;d009;1993-11-04;9999-01-01
74200;d004;1991-09-24;9999-01-01
74210;d005;1996-01-21;9999-01-01
74220;d003;1993-12-24;9999-01-01
74230;d004;1995-01-11;9999-01-01
74240;d006;1985-11-22;2001-03-01
74250;d007;1987-12-17;1990-05-20
74260;d004;1988-03-12;9999-01-01
74270;d007;1986-02-19;9999-01-01
74280;d005;1995-01-10;9999-01-01
74290;d007;1985-10-19;9999-01-01
74300;d005;1990-02-25;9999-01-01
74310;d005;1998-03-10;9999-01-01
74310;d006;1997-08-10;1998-03-10
74320;d004;1992-04-02;9999-01-01
74330;d005;1994-01-11;9999-01-01
74340;d007;1992-08-23;9999-01-01
74350;d007;1992-07-19;9999-01-01
74360;d004;1999-03-02;2000-09-01
74360;d005;1990-04-04;1999-03-02
74370;d005;2000-08-05;9999-01-01
74370;d006;1995-09-18;2000-08-05
74380;d004;1991-02-25;9999-01-01
74380;d005;1987-03-19;1991-02-25
74390;d001;1996-11-08;9999-01-01
74390;d007;1986-09-27;1996-11-08
74400;d009;1998-12-24;2000-11-15
74410;d005;1996-07-25;1996-12-12
74420;d002;1985-08-02;9999-01-01
74430;d005;2002-01-05;9999-01-01
74430;d009;2000-01-09;2002-01-05
74440;d007;1995-01-09;9999-01-01
74450;d005;1995-01-02;9999-01-01
74460;d003;1986-09-18;9999-01-01
74470;d005;1999-04-30;9999-01-01
74480;d001;1996-06-05;2001-03-15
74490;d007;1995-05-14;9999-01-01
74500;d001;1999-12-09;9999-01-01
74510;d005;1997-04-11;9999-01-01
74520;d003;1995-04-25;1999-05-01
74530;d008;1990-02-24;9999-01-01
74540;d004;1998-08-14;9999-01-01
74550;d005;1994-03-26;9999-01-01
74560;d007;1999-07-15;9999-01-01
74570;d004;1990-12-06;9999-01-01
74580;d004;1997-04-25;9999-01-01
74590;d001;1995-03-04;9999-01-01
74600;d005;1988-04-26;1989-01-01
74600;d008;1989-01-01;9999-01-01
74610;d004;1996-04-22;2001-09-14
74620;d007;1999-04-17;1999-07-13
74630;d002;1991-09-27;9999-01-01
74640;d004;1995-07-16;9999-01-01
74650;d005;1999-01-12;1999-07-13
74660;d003;1999-12-15;2001-04-04
74670;d005;1998-06-01;9999-01-01
74680;d009;1998-02-17;9999-01-01
74690;d005;1988-03-03;9999-01-01
74700;d004;1995-07-03;2000-06-21
74700;d006;2000-06-21;9999-01-01
74710;d007;1995-08-07;2000-07-18
74720;d004;1995-10-13;2001-01-23
74720;d006;2001-01-23;9999-01-01
74730;d002;1995-12-20;1998-07-20
74730;d003;1998-07-20;1998-09-20
74740;d006;1994-11-24;9999-01-01
74750;d002;1996-01-25;1998-03-26
74750;d007;1998-03-26;9999-01-01
74760;d001;1996-11-02;9999-01-01
74770;d002;1987-09-28;9999-01-01
74780;d004;1991-12-02;9999-01-01
74790;d004;1990-02-11;9999-01-01
74800;d004;1989-03-08;9999-01-01
74810;d005;1996-12-27;9999-01-01
74820;d001;1992-12-03;9999-01-01
74830;d005;1993-04-30;9999-01-01
74840;d004;1993-06-12;9999-01-01
74850;d005;1996-07-17;1998-05-11
74860;d008;1989-08-05;9999-01-01
74870;d007;1989-10-16;9999-01-01
74880;d005;1999-10-17;9999-01-01
74890;d004;1990-06-05;9999-01-01
74900;d006;1994-09-26;9999-01-01
74910;d007;1987-03-08;9999-01-01
74920;d002;1998-03-17;9999-01-01
74930;d004;1989-10-10;9999-01-01
74940;d004;1992-12-19;9999-01-01
74950;d004;1999-01-20;9999-01-01
74960;d004;1985-12-24;9999-01-01
74970;d006;1989-12-24;2000-09-13
74980;d003;1991-11-12;9999-01-01
74990;d007;1998-04-18;2001-12-12
75000;d007;1989-10-22;9999-01-01
75010;d007;1994-11-20;9999-01-01
75020;d003;1987-11-01;9999-01-01
75030;d005;1994-07-02;1999-07-09
75040;d006;1993-09-30;9999-01-01
75050;d007;1987-09-21;9999-01-01
75060;d005;1994-11-06;9999-01-01
75070;d004;1986-10-12;9999-01-01
75080;d004;1997-12-01;9999-01-01
75090;d007;1992-02-05;9999-01-01
75100;d005;1987-10-27;9999-01-01
75110;d005;1997-03-29;9999-01-01
75120;d004;1986-08-30;9999-01-01
75130;d001;1995-04-01;9999-01-01
75140;d004;1991-02-26;1999-07-29
75150;d004;1989-03-15;2002-02-01
75150;d009;2002-02-01;9999-01-01
75160;d003;1993-08-16;9999-01-01
75170;d007;1989-05-05;9999-01-01
75180;d004;1991-11-17;9999-01-01
75190;d004;1987-10-12;1997-09-01
75200;d001;1989-11-26;9999-01-01
75210;d007;1985-07-17;1988-03-11
75220;d001;1990-04-27;9999-01-01
75230;d005;1989-06-23;9999-01-01
75240;d009;1985-03-29;9999-01-01
75250;d007;1994-02-25;9999-01-01
75260;d008;1995-03-27;9999-01-01
75270;d004;1985-12-12;9999-01-01
75280;d007;1985-12-10;9999-01-01
75290;d009;1998-01-02;9999-01-01
75300;d005;1998-11-16;9999-01-01
75310;d007;1995-12-24;1996-05-31
75320;d004;1996-12-16;9999-01-01
75330;d007;1994-12-21;9999-01-01
75340;d003;1986-05-18;1993-07-11
75350;d004;1988-06-02;9999-01-01
75360;d003;1989-05-02;9999-01-01
75370;d007;1994-03-09;9999-01-01
75380;d009;1992-06-29;1999-03-13
75390;d003;1987-07-24;9999-01-01
75400;d007;1997-12-01;9999-01-01
75410;d001;1989-05-31;9999-01-01
75420;d006;1997-07-03;2000-09-14
75430;d004;1996-04-06;1998-02-09
75440;d005;1993-02-15;1994-02-24
75450;d007;1996-08-30;9999-01-01
75460;d003;1997-11-17;9999-01-01
75470;d007;1990-10-15;9999-01-01
75480;d007;1999-01-31;9999-01-01
75490;d005;1991-12-05;9999-01-01
75500;d002;1990-12-28;9999-01-01
75510;d006;1990-01-27;1998-11-23
75520;d007;1989-05-31;9999-01-01
75530;d007;1993-08-29;9999-01-01
75540;d002;1991-12-08;9999-01-01
75550;d007;1996-01-19;1996-05-23
75550;d009;1996-05-23;1996-11-13
75560;d004;1999-03-10;9999-01-01
75560;d008;1995-07-28;1999-03-10
75570;d001;1998-06-04;2002-01-13
75570;d009;2002-01-13;9999-01-01
75580;d006;1994-05-04;9999-01-01
75590;d005;1995-02-17;9999-01-01
75600;d004;1996-06-21;9999-01-01
75610;d004;1991-10-15;1997-05-13
75620;d001;1985-08-17;9999-01-01
75630;d001;1989-12-15;9999-01-01
75640;d007;1986-10-09;9999-01-01
75650;d003;1990-05-03;9999-01-01
75660;d006;1996-02-20;9999-01-01
75670;d004;1989-02-22;9999-01-01
75680;d002;1995-01-22;9999-01-01
75690;d004;1999-07-08;9999-01-01
75700;d004;1985-02-20;9999-01-01
75710;d004;1991-07-08;9999-01-01
75720;d005;1991-11-20;9999-01-01
75730;d005;1985-07-31;1998-02-23
75740;d005;1985-07-05;1995-01-04
75740;d008;1995-01-04;9999-01-01
75750;d005;1990-01-23;9999-01-01
75760;d005;1991-04-19;1993-12-29
75770;d004;1993-10-26;1999-06-02
75770;d009;1999-06-02;9999-01-01
75780;d005;1999-02-07;9999-01-01
75780;d006;1987-10-02;1999-02-07
75790;d004;1994-09-05;2000-01-30
75800;d004;1993-05-03;9999-01-01
75810;d007;1993-12-26;2001-09-24
75820;d007;1992-07-17;9999-01-01
75830;d004;1986-05-26;1988-01-21
75840;d007;1988-09-15;9999-01-01
75850;d004;1997-06-20;9999-01-01
75860;d004;1989-12-21;1994-05-03
75860;d006;1994-05-03;9999-01-01
75870;d004;1989-08-19;9999-01-01
75880;d005;1995-07-09;1995-10-12
75890;d005;1989-08-25;9999-01-01
75900;d008;1987-03-30;9999-01-01
75910;d008;1987-09-01;1989-08-27
75920;d005;1996-11-03;2001-06-18
75930;d004;1989-07-24;9999-01-01
75940;d005;1985-05-29;1987-06-08
75950;d004;1995-06-11;9999-01-01
75960;d009;1996-06-14;9999-01-01
75970;d005;1997-09-16;9999-01-01
75980;d005;1989-06-20;1997-01-25
75980;d008;1997-01-25;9999-01-01
75990;d008;1992-05-04;9999-01-01
76000;d005;1994-01-19;9999-01-01
76010;d005;1986-09-15;9999-01-01
76020;d005;1989-11-20;1996-09-29
76030;d009;1991-06-30;9999-01-01
76040;d004;1999-10-15;9999-01-01
76050;d004;1988-01-27;9999-01-01
76060;d005;1992-05-09;9999-01-01
76070;d002;1985-11-20;9999-01-01
76080;d005;1986-11-16;9999-01-01
76090;d005;1987-05-19;1991-05-12
76100;d005;1996-05-02;9999-01-01
76110;d003;1995-03-23;9999-01-01
76120;d004;1999-09-08;2001-12-13
76130;d009;1988-07-21;1998-07-02
76140;d004;1991-10-03;1998-11-18
76150;d003;1991-05-08;9999-01-01
76160;d004;1993-07-14;9999-01-01
76170;d007;1997-01-02;9999-01-01
76180;d001;1986-11-16;9999-01-01
76190;d005;1993-09-08;9999-01-01
76200;d006;1991-01-29;9999-01-01
76210;d003;1989-12-23;9999-01-01
76220;d004;1994-02-25;9999-01-01
76230;d004;2000-01-01;9999-01-01
76240;d005;1989-01-23;9999-01-01
76250;d006;1991-03-07;9999-01-01
76260;d004;1994-09-12;9999-01-01
76270;d007;1991-06-03;9999-01-01
76280;d005;1997-10-16;9999-01-01
76290;d003;1995-09-06;9999-01-01
76300;d007;1995-08-03;9999-01-01
76310;d005;1999-07-19;9999-01-01
76320;d006;1999-07-27;1999-11-10
76330;d004;1989-08-04;9999-01-01
76340;d001;1998-03-01;9999-01-01
76350;d004;1987-02-07;1992-08-09
76360;d005;1991-01-13;9999-01-01
76370;d008;1997-12-22;9999-01-01
76380;d007;1999-01-26;9999-01-01
76390;d008;1987-05-21;9999-01-01
76400;d005;1993-01-28;9999-01-01
76410;d004;1993-02-16;9999-01-01
76420;d007;1999-08-28;9999-01-01
76430;d003;1991-07-18;9999-01-01
76440;d005;1990-10-09;9999-01-01
76450;d005;1994-01-12;2001-05-29
76460;d004;1988-01-01;1988-11-01
76470;d007;1991-06-06;9999-01-01
76480;d007;1994-07-16;9999-01-01
76490;d005;1986-09-09;1997-04-08
76500;d005;1996-09-05;9999-01-01
76510;d007;1989-06-25;9999-01-01
76520;d004;1997-06-17;9999-01-01
76530;d005;1988-09-09;9999-01-01
76540;d008;1998-01-23;9999-01-01
76550;d001;1985-12-29;9999-01-01
76560;d006;1997-06-10;9999-01-01
76570;d008;1985-02-14;9999-01-01
76580;d004;1987-09-14;2001-03-18
76590;d007;1987-08-30;9999-01-01
76600;d005;1986-08-31;9999-01-01
76610;d005;1991-09-23;9999-01-01
76620;d005;1995-02-23;9999-01-01
76630;d006;1995-03-26;1997-12-03
76640;d006;1994-07-13;9999-01-01
76650;d009;1994-11-29;9999-01-01
76660;d009;1990-03-31;9999-01-01
76670;d003;1991-10-02;9999-01-01
76680;d008;1989-01-07;9999-01-01
76690;d005;1987-01-12;9999-01-01
76700;d005;1986-09-28;9999-01-01
76710;d004;1986-08-19;1997-08-12
76710;d009;1997-08-12;9999-01-01
76720;d005;1985-03-02;9999-01-01
76730;d004;1989-01-02;9999-01-01
76740;d004;1988-09-23;1992-09-22
76740;d006;1992-09-22;9999-01-01
76750;d005;1994-07-27;9999-01-01
76760;d004;1993-02-04;9999-01-01
76770;d005;1986-03-24;9999-01-01
76780;d004;1999-04-28;2002-04-20
76790;d002;1997-01-26;9999-01-01
76800;d003;1996-10-20;9999-01-01
76810;d006;1992-05-02;9999-01-01
76820;d004;1999-07-16;9999-01-01
76830;d004;1998-01-30;1998-04-14
76840;d006;1993-08-16;9999-01-01
76850;d007;1994-03-26;9999-01-01
76860;d005;1989-04-09;9999-01-01
76870;d004;1988-12-10;9999-01-01
76880;d005;1993-01-31;9999-01-01
76890;d005;1985-07-15;9999-01-01
76900;d008;1990-11-15;1991-10-02
76910;d004;1986-10-03;2000-10-23
76910;d006;2000-10-23;9999-01-01
76920;d005;1997-07-31;9999-01-01
76930;d005;1999-03-29;2000-09-29
76940;d004;1994-09-23;1994-12-16
76950;d007;1998-10-24;9999-01-01
76960;d003;1991-01-20;9999-01-01
76970;d006;1994-05-02;9999-01-01
76980;d005;1994-10-18;9999-01-01
76990;d007;1994-09-08;9999-01-01
77000;d003;1995-08-24;9999-01-01
77010;d004;1994-08-23;9999-01-01
77020;d003;1996-01-05;9999-01-01
77030;d005;1986-03-02;9999-01-01
77040;d004;1989-12-26;2002-04-12
77050;d005;1997-02-12;9999-01-01
77060;d004;1999-01-29;9999-01-01
77070;d007;1989-01-24;9999-01-01
77080;d004;1996-07-23;9999-01-01
77090;d005;1995-05-19;1996-02-28
77100;d004;1986-12-25;9999-01-01
77110;d003;1989-09-09;9999-01-01
77120;d005;1989-05-14;9999-01-01
77130;d006;1988-03-14;9999-01-01
77140;d004;1986-04-05;1990-11-12
77140;d006;1990-11-12;1991-07-31
77150;d004;1997-05-29;2000-04-14
77150;d006;2000-04-14;9999-01-01
77160;d004;1996-10-21;9999-01-01
77170;d004;1996-03-29;9999-01-01
77180;d004;1994-11-30;9999-01-01
77190;d004;1998-08-18;9999-01-01
77200;d009;1998-06-14;9999-01-01
77210;d004;1994-04-05;9999-01-01
77220;d008;1992-06-12;9999-01-01
77230;d007;1991-02-26;1995-02-28
77240;d005;1998-03-17;9999-01-01
77250;d005;1999-07-27;9999-01-01
77260;d004;1996-05-22;2000-10-26
77270;d007;1996-09-09;9999-01-01
77280;d004;1999-12-24;9999-01-01
77290;d005;1991-06-20;1994-07-05
77290;d008;1994-07-05;1999-04-23
77300;d005;1998-05-23;9999-01-01
77310;d007;1998-01-05;2000-01-04
77310;d009;2000-01-04;2001-10-02
77320;d005;1990-11-13;9999-01-01
77330;d004;1999-12-07;9999-01-01
77340;d004;1997-10-20;1998-10-05
77340;d005;1991-08-26;1997-10-20
77350;d007;1991-01-05;9999-01-01
77360;d005;1995-06-28;9999-01-01
77370;d007;1985-10-18;9999-01-01
77380;d005;1990-04-15;1998-01-10
77390;d008;1985-09-02;9999-01-01
77400;d009;1998-12-24;9999-01-01
77410;d007;1993-03-14;9999-01-01
77420;d006;1989-12-20;9999-01-01
77430;d003;1988-09-07;9999-01-01
77440;d007;1989-10-03;9999-01-01
77450;d004;1994-01-05;1996-11-24
77460;d005;1987-10-28;9999-01-01
77470;d001;1989-04-07;9999-01-01
77480;d008;1987-01-18;9999-01-01
77490;d003;1987-07-29;9999-01-01
77500;d001;1988-07-06;9999-01-01
77510;d004;1988-05-04;9999-01-01
77520;d004;1996-11-14;9999-01-01
77530;d005;1992-11-11;9999-01-01
77540;d004;1986-12-22;9999-01-01
77550;d001;1995-03-12;9999-01-01
77560;d005;1993-11-27;1999-07-08
77570;d004;1994-01-14;2002-03-22
77580;d009;1997-03-13;9999-01-01
77590;d005;1994-04-15;9999-01-01
77600;d002;1985-06-01;1998-01-09
77610;d004;1993-11-29;9999-01-01
77620;d005;1990-01-21;9999-01-01
77630;d004;1993-09-23;9999-01-01
77640;d009;1992-03-13;1993-03-23
77650;d004;1988-10-04;9999-01-01
77660;d005;1997-01-19;1999-10-16
77670;d009;1985-09-22;9999-01-01
77680;d004;1995-04-08;2000-06-03
77690;d002;1996-08-10;1999-06-17
77690;d007;1999-06-17;2001-10-21
77700;d005;1995-07-05;9999-01-01
77710;d002;1997-12-04;9999-01-01
77720;d007;1990-08-23;9999-01-01
77730;d004;1989-11-20;9999-01-01
77740;d006;1989-07-21;9999-01-01
77750;d004;1998-06-29;1998-12-05
77760;d002;1998-07-12;2000-07-25
77760;d003;2000-07-25;9999-01-01
77770;d005;1992-01-04;2001-09-24
77770;d008;2001-09-24;9999-01-01
77780;d004;1999-12-05;9999-01-01
77790;d004;1994-12-21;9999-01-01
77790;d005;1991-05-09;1994-12-21
77800;d005;1996-09-23;1999-09-04
77810;d005;1986-05-06;9999-01-01
77820;d001;1994-06-24;9999-01-01
77830;d005;1996-11-21;9999-01-01
77840;d007;1992-01-30;9999-01-01
77850;d004;1994-09-04;1999-06-28
77850;d009;1999-06-28;9999-01-01
77860;d004;1989-11-08;9999-01-01
77870;d004;1992-02-15;9999-01-01
77880;d009;1997-04-06;9999-01-01
77890;d004;1995-12-27;9999-01-01
77900;d005;1988-10-03;9999-01-01
77910;d004;1999-01-21;9999-01-01
77910;d005;1993-01-21;1999-01-21
77920;d004;1999-06-14;9999-01-01
77920;d005;1999-03-31;1999-06-14
77930;d007;1990-04-14;9999-01-01
77940;d004;1990-10-19;9999-01-01
77950;d005;1985-10-03;9999-01-01
77960;d005;1994-04-10;9999-01-01
77970;d007;1990-09-30;9999-01-01
77980;d007;1988-10-16;9999-01-01
77990;d004;1986-05-28;2001-05-08
78000;d004;1988-01-31;9999-01-01
78010;d009;1986-05-27;9999-01-01
78020;d007;1986-01-05;9999-01-01
78030;d001;1989-04-20;9999-01-01
78040;d005;1998-10-24;9999-01-01
78050;d008;1996-03-05;1998-01-20
78060;d008;1998-10-21;9999-01-01
78070;d001;1996-08-02;9999-01-01
78070;d007;1985-08-11;1996-08-02
78080;d002;1998-10-15;9999-01-01
78090;d004;1993-12-10;9999-01-01
78100;d004;1997-07-08;9999-01-01
78110;d004;1999-04-26;9999-01-01
78120;d003;1990-02-10;9999-01-01
78130;d004;1997-12-15;9999-01-01
78140;d005;1997-09-02;9999-01-01
78150;d005;1985-09-05;1998-12-06
78160;d005;1992-10-02;9999-01-01
78170;d005;1991-10-25;1999-02-19
78180;d003;1991-11-10;9999-01-01
78190;d004;1996-02-23;9999-01-01
78200;d005;1997-08-10;2000-02-26
78210;d007;1992-10-19;9999-01-01
78220;d005;1986-09-26;9999-01-01
78230;d003;1997-07-17;1998-07-30
78240;d002;1990-06-05;9999-01-01
78240;d003;1985-09-07;1990-06-05
78250;d006;1987-04-02;1992-10-16
78260;d006;1993-02-15;9999-01-01
78270;d005;1996-12-21;9999-01-01
78280;d005;1998-05-09;9999-01-01
78290;d005;1996-04-30;1998-03-22
78300;d004;1986-02-18;1997-08-26
78310;d005;1987-09-26;9999-01-01
78320;d007;1992-05-27;9999-01-01
78330;d005;1999-04-28;9999-01-01
78340;d001;1998-02-19;9999-01-01
78340;d007;1990-09-18;1998-02-19
78350;d001;1985-03-25;9999-01-01
78360;d008;1997-04-11;9999-01-01
78370;d005;1991-08-28;9999-01-01
78370;d006;1985-05-11;1991-08-28
78380;d005;1989-01-02;9999-01-01
78380;d008;1987-02-17;1989-01-02
78390;d007;1990-08-17;9999-01-01
78400;d005;1985-09-26;9999-01-01
78410;d005;1988-02-21;9999-01-01
78420;d007;1994-04-23;2000-02-16
78430;d008;1993-10-13;9999-01-01
78440;d004;1997-11-05;9999-01-01
78450;d009;1992-02-14;2002-03-18
78460;d004;1987-11-29;9999-01-01
78470;d003;1995-09-11;9999-01-01
78480;d005;1997-01-11;9999-01-01
78490;d005;1992-03-20;1995-11-22
78500;d005;1988-09-02;1995-10-22
78510;d008;1989-06-08;9999-01-01
78520;d004;1994-10-26;9999-01-01
78520;d005;1990-07-26;1994-10-26
78530;d004;2002-03-01;9999-01-01
78530;d005;1997-12-06;2002-03-01
78540;d002;1985-05-27;9999-01-01
78550;d005;1992-05-22;9999-01-01
78560;d005;1990-10-15;1992-05-05
78570;d001;1986-07-21;1999-08-07
78580;d009;1990-08-07;9999-01-01
78590;d005;1986-04-01;9999-01-01
78600;d002;1996-11-13;1999-11-29
78610;d004;1993-10-08;1998-03-02
78620;d006;1990-08-03;1993-02-25
78630;d009;2000-01-11;9999-01-01
78640;d001;1985-12-06;9999-01-01
78650;d004;1993-11-10;1994-12-10
78660;d009;1990-09-10;9999-01-01
78670;d005;1990-02-23;9999-01-01
78680;d002;1995-11-17;9999-01-01
78690;d005;1990-04-26;9999-01-01
78700;d004;2001-12-26;9999-01-01
78700;d005;1999-10-18;2001-12-26
78710;d005;1985-04-03;9999-01-01
78720;d001;1996-03-06;9999-01-01
78730;d009;1991-07-10;9999-01-01
78740;d004;1997-04-30;9999-01-01
78750;d002;1992-05-14;9999-01-01
78760;d007;1996-07-12;9999-01-01
78770;d007;1999-11-29;9999-01-01
78780;d008;1989-07-05;9999-01-01
78790;d005;1989-07-25;9999-01-01
78800;d005;1992-01-22;9999-01-01
78810;d003;1996-09-04;9999-01-01
78820;d007;1995-05-31;9999-01-01
78830;d005;1989-03-09;9999-01-01
78840;d007;1992-07-29;2000-06-24
78850;d006;1997-12-12;1999-05-30
78860;d005;1987-02-28;2001-03-28
78870;d005;1994-05-22;9999-01-01
78880;d009;1997-01-01;1997-09-26
78890;d004;1992-01-16;9999-01-01
78900;d003;1992-05-04;9999-01-01
78910;d005;1990-06-18;9999-01-01
78920;d004;1987-12-15;1990-05-19
78930;d002;1991-03-12;9999-01-01
78940;d006;1985-06-01;9999-01-01
78950;d007;1996-03-25;9999-01-01
78960;d005;1995-02-18;9999-01-01
78970;d001;1999-11-13;9999-01-01
78980;d004;1998-02-15;1998-11-02
78980;d009;1993-09-27;1998-02-15
78990;d004;1994-07-04;9999-01-01
79000;d004;1995-01-12;1995-09-09
79000;d006;1995-09-09;1997-10-14
79010;d005;1990-07-21;9999-01-01
79020;d004;1995-11-20;9999-01-01
79020;d008;1992-06-20;1995-11-20
79030;d005;1999-05-12;1999-09-19
79030;d008;1999-09-19;2000-04-09
79040;d004;1992-09-18;1992-10-19
79040;d006;1988-01-30;1992-09-18
79050;d001;1996-08-19;9999-01-01
79060;d005;1991-06-09;1992-08-16
79070;d007;1996-09-23;2000-06-07
